Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Kuzey Guleryuz,138,0.92,68.67,8,4,140.4,0.9,2204,2227,299,4,4,20.48,21.1,0.65,148.3,-1.05,0.86,0.98,143.3,132.8,2.5,1.5,7.36,445.15,0.42,21992.05
Salih Eke,137.6,0.96,15.2,8,3,134.6,1.16,2195,2149,397,3,5,14.8,17.39,0.55,11.27,-1.07,0.64,1.16,148.2,131.3,1,2,7.72,302.34,0.31,127.11
Apaar Saxena,137.2,0.83,68.47,8,3,149,0.68,2101,2162,464,4,4,16.73,26.39,0.69,131.81,-1.1,0.95,0.72,133,141.3,1,2,6.67,696.49,0.48,17372.99
Hayale Isgenderova,136.9,0.78,42.14,8,3.5,141.2,0.52,2091,2206,308,5,3,21.56,28.73,0.91,65.55,-1.11,0.67,0.97,145.2,123.2,3.5,0,6.27,825.65,0.82,4296.6
Baver Yilmaz,136.3,0.96,21.88,8,3.5,134,1.04,2269,2117,377,4,4,21.16,18.49,0.52,14.5,-1.15,0.74,1.18,143,129.6,2,1.5,7.69,341.92,0.27,210.29
Yusuf Baran Cevizci,133.1,0.94,25.54,8,3,133,0.84,2062,2137,338,5,3,24.43,23.35,0.77,22.02,-1.32,1.2,0.5,122.6,150.6,1.5,1.5,7.51,545.14,0.59,484.96
Timofei Pereverzev,132.4,0.89,34.96,8,4,157.7,0.38,2139,2182,350,3,5,10.56,44,1.16,62.48,-1.36,0.83,0.92,133.3,131.8,1,3,7.1,1936.39,1.36,3904.04
Mustafa Alpago Gulsoy,132.2,0.96,21.71,8,2.5,133.6,0.88,2088,2103,399,5,3,19.54,25.99,0.65,16.4,-1.37,1.17,0.6,120.3,152,0.5,2,7.65,675.68,0.42,269.08
Egehan Ipek,130.5,0.96,16.75,8,3,126.8,0.9,2216,2063,364,4,4,17.81,25.34,0.69,12.98,-1.46,0.84,1.08,132.6,128.3,1,2,7.68,642.37,0.48,168.57
Demhat Zerey,130.1,1.09,18.94,8,4,147.7,0.62,2109,2332,348,4,4,19.05,39.67,0.94,10.57,-1.48,1.52,0.65,115,145.1,2,2,8.69,1573.78,0.88,111.67
Kazbek Primbetov,129.5,1.26,96.91,8,5,132.4,1.38,2133,2350,304,5,3,21.96,24.62,0.86,149.58,-1.51,0.85,1.94,136,118.6,2.5,2.5,10.05,606.21,0.74,22374.52
Burak Doga Sahin,128.8,0.9,89.8,8,2.5,134.5,0.88,2006,2067,376,4,4,28.83,33.98,0.89,100.96,-1.55,0.51,1.3,144.8,112.8,1.5,1,7.22,1154.68,0.79,10192.06
Taha Golshaani,127.1,1.12,145.4,8,2.5,130.6,1.12,2142,2084,408,4,4,137.32,23.17,0.67,147.03,-1.64,1.5,0.74,113.7,140.6,1,1.5,8.99,536.65,0.45,21618.7
Soninbayar Tuguldur,124.3,1.21,87.28,8,4,136.9,0.6,2120,2306,324,4,4,27.22,39.45,1.4,130.75,-1.8,1.28,1.14,126.1,122.4,2.5,1.5,9.69,1556.01,1.95,17096.46
Artem Alek Fedorov,122,1.2,60.88,8,4,134,0.89,2157,2232,326,3,5,33.76,53.24,1.53,77.6,-1.92,0.24,1.77,150.2,105,2,2,9.59,2834.6,2.33,6022.04
Baris Cinar Sahbudak,121.9,1.44,98.54,8,3.5,139,0.95,2072,2184,400,3,5,16.61,60,1.58,160.7,-1.92,2.04,1.08,97.7,136.4,1,2.5,11.52,3599.68,2.5,25823.48
Alper Demirtas,120.3,1.28,106.69,8,3,128.7,1.06,2205,2128,484,4,4,21.6,42.26,1.24,133.79,-2.01,0.62,1.94,143.3,97.4,2,1,10.27,1785.61,1.53,17901.09
Ugur Can Hatirli,119.7,1.5,54.55,8,4,124.9,1.25,2023,2214,399,4,4,24.66,33.99,0.97,84.94,-2.04,1.59,1.42,118.6,120.8,2.5,1.5,12.02,1155.27,0.95,7213.97
Umut Anil Dogan,116.8,1.31,126.16,8,2.5,119.7,1.32,2060,2057,392,3,5,21.37,40.57,1.06,189.58,-2.2,1.5,1.19,104.3,124.2,0.5,2,10.46,1645.94,1.12,35941.85
Hasan Atis,116.6,1.35,27.07,8,3,123.8,0.96,2089,2130,378,4,4,27.86,37.99,1.27,17.61,-2.21,2.07,0.62,97.6,135.6,2,1,10.78,1443.57,1.6,310.08
Egehan Yildiz,105.1,1.62,123.88,8,2,109,1.82,2198,1973,406,4,4,27.83,41.14,1.08,150.87,-2.83,1.29,1.96,123.2,87,2,0,13,1692.86,1.16,22760.26
Thomas Bauer,97.4,2.08,91.98,8,3.5,112.3,1.62,2189,2144,375,4,4,38.67,48.94,1.44,118.11,-3.24,2.77,1.4,76.4,118.4,2,1.5,16.65,2395.13,2.09,13950.55
Batikan Sener,149.9,1.05,23.2,7,4.5,148.1,0.51,0,102,286,4,3,11.78,30.57,1.49,23.9,-0.41,0.82,1.37,151.6,147.7,2,2.5,7.38,934.58,2.22,570.97
Efe Metehan Yavuz,148.1,0.59,-10,7,3.5,157.6,0.54,2345,2138,238,3,4,1.5,14.78,0.56,41.74,-0.51,0.25,0.84,157.9,140.8,2,1.5,4.1,218.49,0.31,1742.13
Maksim Schekachikhin,146.5,0.56,98.75,7,4,158,0.42,2354,2371,247,4,3,12.69,24.18,0.69,178.72,-0.6,0.86,0.16,137.3,158.8,1.5,2.5,3.92,584.89,0.47,31942.19
Kaan Ozkan,143.2,0.86,75.23,7,5,157.6,0.83,1939,1994,308,3,4,10.98,21.84,0.55,169.82,-0.78,0.76,0.94,157.6,132.4,3,2,6.02,476.98,0.3,28839.02
Tuna Sahin,140.5,1.56,17.11,7,4.5,128.2,1.58,0,1944,379,3,4,16.46,31.02,1.6,13.7,-0.92,0.53,2.34,160,125.8,2,2.5,10.95,962.01,2.57,187.58
Prraneeth Vuppala,140.2,0.8,31.95,7,4.5,156.9,0.52,2476,2354,381,3,4,7.81,28.05,0.82,42.26,-0.94,0.23,1.23,157.8,127,2.5,2,5.6,786.95,0.67,1785.81
Berkay Ekinci,139.2,0.74,17.57,7,2.5,138.9,0.64,2000,2098,254,2,5,18.19,18.53,0.48,12.3,-0.99,0.82,0.71,137,140.1,0.5,2,5.2,343.3,0.23,151.23
Arda Cankurt,134.2,1.14,37.75,7,4.5,134.7,1.62,1971,1956,289,4,3,12.44,27.17,1.08,68.67,-1.26,0.96,1.38,141,125.2,3,1.5,7.98,738.47,1.17,4715.51
Sarp Sahin,132.5,0.84,55.13,7,2,129.1,0.78,2233,1976,410,4,3,18.27,21.08,0.66,107.96,-1.35,0.93,0.72,133.4,131.3,2,0,5.88,444.48,0.44,11656.06
Talat Yildiz,131.8,0.9,49.27,7,2,135.8,0.72,2043,2051,331,4,3,17.56,24.69,0.75,92.32,-1.39,0.99,0.77,126.3,139.1,0.5,1.5,6.29,609.63,0.56,8522.74
Eymen Eren Buyuk,130.9,1.03,127.72,7,3.5,157.6,0.86,2131,2231,370,3,4,35.94,36.3,0.84,151.32,-1.44,0.62,1.34,144.7,120.6,1.5,2,7.24,1317.54,0.71,22898.71
Timur Yonal,130.7,0.97,96.8,7,2.5,138.5,0.69,2170,2117,259,3,4,38.85,22.37,0.78,149,-1.45,1.15,0.84,129.7,131.4,1,1.5,6.8,500.47,0.6,22200.97
