Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Erigaisi Arjun,155.7,0.75,-10.71,7,4.5,156.7,0.55,2744,2871,281,4,3,12.49,14.28,0.49,58.98,-0.1,0.74,0.75,157.7,153.0,3.0,1.5,5.22,203.95,0.24,3479.23
Magnus Carlsen,155.2,0.77,17.47,7,4.5,146.5,0.64,2923,2846,277,3,4,13.45,18.69,0.76,8.49,-0.13,0.75,0.78,159.2,152.3,2.5,2.0,5.38,349.15,0.58,72.1
Javokhir Sindarov,152.6,1.05,17.44,7,5.5,152.6,1.12,2704,3001,277,4,3,16.12,18.23,0.86,10.02,-0.27,1.4,0.59,147.7,159.0,3.5,2.0,7.38,332.16,0.74,100.43
Levon Aronian,149.9,1.13,9.18,7,5.0,154.2,1.18,2772,2924,296,3,4,13.29,15.17,0.65,14.68,-0.41,0.93,1.27,155.8,145.5,2.5,2.5,7.88,230.04,0.42,215.51
Fabiano Caruana,149.7,0.85,23.47,7,3.0,146.5,0.71,2797,2712,257,3,4,28.22,12.6,0.47,16.55,-0.42,0.61,1.03,155.5,145.4,1.5,1.5,5.94,158.77,0.22,273.74
Hans Moke Niemann,144.5,1.13,19.95,7,3.0,146.2,1.04,2725,2722,276,3,4,18.48,13.12,0.53,7.53,-0.71,1.13,1.14,152.0,138.8,2.5,0.5,7.94,172.08,0.29,56.72
Vincent Keymer,144.4,1.07,32.9,7,2.5,149.1,0.76,2752,2666,246,4,3,33.1,13.84,0.72,23.08,-0.71,0.58,1.72,151.5,135.0,1.0,1.5,7.47,191.52,0.52,532.8
Parham Maghsoodloo,126.4,1.68,29.65,7,0.0,125.7,1.72,2712,2223,296,4,3,43.15,9.54,0.52,73.01,-1.68,1.86,1.44,123.0,130.9,0.0,0.0,11.77,91.02,0.27,5330.43
