Player,avg_missed_points,avg_gi,avg_missed_points,TPR,total_game_count,Points,gi_median,missed_points_median,Elo,,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Shakhriyar Mamedyarov,0.84,143.1,0.84,2548,14,8.5,155.8,0.55,2680,,570,7,7,14.8,24.26,0.91,54.18,-0.78,1.19,0.48,133.3,153,3.5,5,11.69,588.64,0.83,2934.95
Leinier Dominguez Perez,0.95,142.7,0.95,2547,13,9.5,157.7,0.36,2630,,603,6,7,13.51,29.76,1.14,90.69,-0.8,0.8,1.07,143.7,141.8,5,4.5,12.3,885.71,1.3,8224.9
Rustam Kasimdzhanov,0.69,142.7,0.69,2337,12,6,157.8,0.61,2603,,554,5,7,9.3,23.16,0.64,16.41,-0.8,0.62,0.75,145.8,140.5,3,3,8.32,536.4,0.4,269.37
Rasmus Svane,1.15,142.6,1.15,2703,15,11.5,147,0.84,2643,,761,5,10,18.85,19.96,0.97,89.95,-0.81,0.82,1.32,149.9,138.9,3.5,8,17.26,398.58,0.94,8091.05
Ilja Schneider,0.71,142.4,0.71,2363,12,6,154.6,0.59,2469,,630,7,5,24.28,21.53,0.65,68.59,-0.82,0.57,0.92,147,136,3.5,2.5,8.55,463.54,0.42,4704.04
Andrey Esipenko,0.99,142.3,0.99,2649,21,17,158,0.66,2646,,939,14,7,17.91,28.74,1.07,103.82,-0.82,0.82,1.32,147.3,132.3,12.5,4.5,20.72,825.78,1.14,10779.22
Dragan Solak,0.82,141.9,0.82,2471,14,9.5,148.8,0.82,2510,,695,7,7,20.5,19.45,0.83,123.78,-0.84,0.75,0.89,143.4,140.5,5,4.5,11.43,378.34,0.69,15322.54
Marcus R Harvey,0.88,141.6,0.88,2423,12,5.5,141.1,0.88,2449,,596,6,6,18.83,16.84,0.45,66.06,-0.86,0.73,1.02,143.1,140.2,2.5,3,10.5,283.72,0.2,4364.39
Samuel Sevian,1.23,141.5,1.23,2746,17,13.5,149.6,0.83,2711,,886,9,8,20.22,26.32,1.02,71.24,-0.87,1.33,1.11,140.7,142.4,6.5,7,20.86,692.6,1.05,5075.6
Eldiyar Orozbaev,1.09,141.2,1.09,2526,13,8.5,147.6,1.18,2274,,537,6,7,32.67,20.15,0.73,94.95,-0.89,0.65,1.46,155.4,129,5.5,3,14.11,405.89,0.53,9014.67
Jose Eduardo Martinez Alcantara,1.08,141.1,1.08,2623,13,8,150.1,0.62,2705,,586,6,7,18.68,27.27,1.08,80.82,-0.89,1.03,1.12,143.4,139.1,4.5,3.5,14.01,743.54,1.17,6532.34
Yahli Sokolovsky,1.1,140.9,1.1,2426,12,8,146.9,0.91,2417,,992,12,8,19.77,29.2,1.02,112.79,-0.9,1.05,0.99,141.7,139.7,8.5,6.5,20.53,852.56,1.04,12722.47
V Pranav,1.03,140.9,1.03,2593,20,15,157.8,0.76,2592,,477,6,6,20.88,21.42,0.72,55.41,-0.9,1.45,0.76,128.5,153.3,3,5,13.24,458.72,0.52,3070.44
Robert Ruck,1,140.9,1,2368,9,7,156.8,0.88,2523,,475,4,5,20.29,25.94,0.78,62.53,-0.9,1.14,0.89,138.6,142.7,2.5,4.5,8.98,672.72,0.61,3910.13
Ediz Gurel,0.91,140.8,0.91,2515,14,9,157.6,0.78,2494,,746,6,8,16.98,25.35,0.85,95.28,-0.9,1,0.85,135.7,144.6,3.5,5.5,12.78,642.86,0.72,9078.19
Ivan Saric,0.77,140.8,0.77,2402,14,8,156.1,0.36,2615,,545,7,7,10.74,28.44,0.91,116.42,-0.9,0.6,0.94,144.4,137.2,5,3,10.8,808.78,0.84,13552.55
Richard Rapport,1.06,140.7,1.06,2580,20,13.5,142.4,0.87,2631,,892,8,12,17.46,20.97,0.82,111.1,-0.91,1.16,0.99,138.4,142.2,5.5,8,21.2,439.93,0.68,12343.48
Aldiyar Sailaubay,0.97,139.8,0.97,1994,19,13.5,157.6,0.73,1915,,779,9,10,27.74,26.67,0.76,92.54,-0.96,1.05,0.9,137.8,141.7,7,6.5,18.47,711.04,0.58,8564.45
Sugar Gan-Erdene,1.02,139.7,1.02,2512,12,7,145,0.73,2330,,504,6,6,13.7,29.37,1.09,48.29,-0.96,0.54,1.46,151.9,127.5,4.5,3.5,12.04,862.59,1.18,2332.4
Alan Pichot,1,139.7,1,2556,12,8,150.3,0.86,2618,,561,6,6,23.94,26.32,0.94,96.94,-0.96,1.15,0.89,133.6,145.8,4,3,12.24,692.94,0.88,9396.97
Nodirbek Abdusattorov,1.25,139.6,1.25,2824,18,14.5,151,1.25,2694,,991,9,9,18.33,33.02,1.1,88.37,-0.97,0.97,1.54,152.2,127.1,8.5,6,22.54,1090.04,1.2,7809.03
Marc`Andria Maurizzi,1.09,139.5,1.09,2488,14,10.5,153.8,0.91,2486,,533,6,8,25.7,33.74,0.96,122.09,-0.98,1.26,0.97,134.5,143.2,3.5,7,15.3,1138.44,0.93,14906.42
Erigaisi Arjun,1.17,139.3,1.17,2687,22,16.5,157.2,0.64,2738,,902,12,10,16.3,29.99,1.07,65.69,-0.98,0.73,1.7,151.4,124.8,9.5,7,25.8,899.57,1.15,4314.79
Tom O`Gorman,0.95,139.1,0.95,2418,12,5,139.8,0.86,2333,,695,5,9,10.32,36.57,1.02,75.58,-0.99,0.62,1.1,148.9,133.6,4.5,5.5,12.98,1337.61,1.05,5712
Tuan Minh Le,0.93,139.1,0.93,2509,14,10,158,0.47,2579,,554,6,6,22.24,24.36,0.64,81.92,-1,1.08,0.82,136.6,141.5,2,3,11.37,593.22,0.41,6711.21
Ali Aras Yildiz,0.98,139,0.98,1971,12,8.5,145.1,0.9,1901,,546,6,6,18.54,20.42,0.69,108.07,-1,0.74,1.22,146.9,131.1,4.5,4,11.8,416.86,0.48,11678.41
Frederik Svane,1.02,138.7,1.02,2659,14,11,151.9,0.41,2531,,601,5,9,11.42,32.09,1.22,12.33,-1.02,1.94,0.51,113.3,152.7,3.5,7.5,14.31,1029.89,1.48,152.11
Leon Luke Mendonca,0.92,138.6,0.92,2444,13,10,157.7,0.38,2480,,584,6,7,15.26,30.64,1,154.53,-1.02,0.82,1.01,136,140.8,4.5,5.5,11.98,939.04,1,23880.22
Naranbold Sodbilegt,1.07,138.3,1.07,2202,12,7.5,152.8,0.98,1989,,455,6,6,20.12,26.15,0.96,106.52,-1.04,0.66,1.48,146.1,130.6,3,4.5,12.89,684.01,0.92,11347.26
