Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Tomas Sosa,147.39,0.7,35.52,7.0,4.0,150.6,0.71,2515.0,2545.0,347.0,4.0,3.0,11.64,12.57,0.57,63.82,-0.55,0.37,1.13,154.48,137.93,3.0,1.0,4.87,158.1,-0.37,0.46,0.68,0.32,4073.37
Maxim Rodshtein,146.77,0.86,10.58,7.0,5.0,151.2,1.2,2600.0,2662.0,332.0,4.0,3.0,10.36,15.88,0.76,5.59,-0.58,0.87,0.85,146.07,147.7,3.0,2.0,6.04,252.21,-0.35,0.73,0.86,0.58,31.3
Arkadij Naiditsch,144.67,0.7,48.26,7.0,3.5,144.9,0.6,2643.0,2512.0,332.0,3.0,4.0,9.64,17.39,0.56,95.43,-0.7,0.56,0.8,145.23,144.25,1.5,2.0,4.88,302.47,-0.69,0.88,0.94,0.31,9107.51
David W L Howell,143.7,0.88,32.36,7.0,3.5,157.9,0.85,2677.0,2551.0,467.0,3.0,4.0,3.8,25.56,1.09,94.44,-0.75,0.68,1.03,153.47,136.38,1.5,2.0,6.17,653.09,0.02,1.9,1.38,1.19,8919.04
Fernando Peralta,143.53,0.66,35.62,7.0,2.0,146.6,0.59,2558.0,2449.0,267.0,3.0,4.0,9.08,20.75,0.72,68.02,-0.76,1.13,0.31,130.0,153.68,0.0,2.0,4.63,430.36,-0.59,1.25,1.12,0.52,4627.12
Ido Gorshtein,143.0,0.7,15.35,7.0,3.5,158.2,0.53,2543.0,2421.0,367.0,3.0,4.0,15.49,23.42,0.56,11.49,-0.79,0.69,0.7,145.53,141.1,2.0,1.5,4.87,548.4,0.03,1.59,1.26,0.31,132.03
Anton Demchenko,142.63,0.98,13.32,7.0,3.5,147.4,0.93,2597.0,2585.0,460.0,3.0,4.0,15.64,21.34,0.68,7.13,-0.81,1.41,0.65,136.4,147.3,2.5,1.0,6.85,455.58,-0.55,1.33,1.15,0.46,50.81
Andreas Kelires,141.89,0.77,38.42,7.0,3.5,146.0,0.76,2536.0,2402.0,351.0,4.0,3.0,17.94,18.86,0.63,74.1,-0.85,0.53,1.09,150.7,130.13,3.0,0.5,5.39,355.51,-0.62,1.03,1.02,0.39,5490.68
Stamatis Kourkoulos-Arditis,136.67,1.21,12.99,7.0,4.5,144.6,0.68,2570.0,2532.0,325.0,3.0,4.0,11.44,37.03,1.09,7.67,-1.13,1.55,0.96,123.3,146.7,2.0,2.5,8.48,1371.16,-0.7,3.99,2.0,1.18,58.76
Alexander Donchenko,134.96,1.15,43.23,7.0,4.5,147.3,1.29,2638.0,2504.0,405.0,3.0,4.0,8.88,28.33,0.86,84.45,-1.22,0.98,1.28,138.8,132.07,2.0,2.5,8.06,802.75,-0.56,2.33,1.53,0.73,7131.8
