Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Piotr Sabuk,142.9,0.52,84.34,4.0,1.0,138.4,0.61,2310,2261,186,3,1,17.86,12.32,0.27,137.02,-0.79,0.46,0.72,145.1,136.3,1.0,0.0,2.09,151.89,0.07,18775.84
Oliver Stork,142.9,0.79,25.54,3.0,1.0,140.0,0.72,2392,2233,123,2,1,24.11,12.5,0.21,6.18,-0.79,0.88,0.62,144.4,140.0,1.0,0.0,2.37,156.37,0.05,38.14
Martin Hollan,142.8,0.54,27.19,1.0,0.0,142.8,0.54,2319,2426,31,0,1,27.19,0.0,0.0,0.0,-0.79,,0.54,,142.8,0.0,0.0,0.54,0.0,0.0,0.0
Timur Kocharin,142.6,0.71,56.78,5.0,2.0,153.0,0.64,2263,2342,215,3,2,13.77,21.67,0.74,101.59,-0.81,0.33,1.29,150.5,130.8,1.0,1.0,3.57,469.52,0.54,10320.35
Dragos Ceres,142.5,0.8,33.37,6.0,4.0,152.2,0.71,2453,2398,281,3,3,9.43,25.81,0.77,64.49,-0.81,0.76,0.84,148.8,136.3,2.5,1.5,4.79,666.14,0.59,4159.08
Velimir Ivic,142.4,0.87,15.85,9.0,7.5,158.3,0.34,2623,2642,348,5,4,7.12,46.64,1.66,27.69,-0.82,1.24,0.4,131.2,156.3,4.5,3.0,7.84,2175.66,2.74,766.99
Alexander Fishbein,142.2,0.76,30.68,6.0,3.5,152.0,0.44,2375,2379,322,3,3,12.7,21.55,0.9,44.77,-0.83,0.04,1.48,158.9,125.5,2.0,1.5,4.56,464.28,0.81,2004.62
Vincent Colin,142.0,0.5,113.73,2.0,0.0,142.0,0.5,2294,2192,133,1,1,113.73,0.07,0.0,140.62,-0.84,0.5,0.5,141.9,142.0,0.0,0.0,1.0,0.01,0.0,19772.65
Valentin Buckels,142.0,0.72,23.1,9.0,5.0,157.7,0.65,2440,2353,455,4,5,13.0,22.32,0.63,30.87,-0.84,0.58,0.83,144.5,140.0,2.5,2.5,6.48,498.13,0.4,952.74
Felix Hampel,141.8,0.7,81.61,4.0,1.5,144.0,0.66,2313,2383,150,1,3,18.49,19.54,0.53,135.76,-0.86,0.69,0.7,134.6,144.1,0.0,1.5,2.8,381.96,0.28,18432.03
Jan Rubes,141.6,0.77,12.75,8.0,4.5,145.4,0.66,2433,2359,402,4,4,10.59,18.48,0.55,10.07,-0.86,0.53,1.01,147.8,135.4,2.5,2.0,6.18,341.5,0.3,101.48
Tom Decuigniere,141.6,1.04,12.74,2.0,1.5,141.6,1.04,2359,2709,116,1,1,12.74,27.65,0.84,2.71,-0.86,0.45,1.64,161.1,122.0,1.0,0.5,2.09,764.41,0.71,7.33
Vinzent Spitzl,141.6,0.59,247.64,3.0,0.5,137.8,0.6,2353,2229,89,1,2,272.45,16.53,0.57,234.16,-0.86,0.02,0.88,159.7,132.6,0.5,0.0,1.77,273.27,0.32,54829.78
Florian Stricker,141.5,0.65,19.97,3.0,0.5,138.7,0.57,2250,2132,97,2,1,20.3,4.97,0.14,3.05,-0.87,0.56,0.81,138.6,147.2,0.0,0.5,1.94,24.66,0.02,9.32
Bryan Smith,141.2,0.85,16.79,6.0,3.5,142.8,0.74,2374,2401,251,4,2,16.65,17.54,0.69,7.29,-0.88,0.84,0.87,141.4,140.8,2.5,1.0,5.08,307.73,0.48,53.1
Niklas Schulte-Geers,141.1,0.49,318.09,1.0,0.0,141.1,0.49,2190,2221,32,0,1,318.09,0.0,0.0,0.0,-0.89,,0.49,,141.1,0.0,0.0,0.49,0.0,0.0,0.0
Oleksandr Yurovskykh,141.1,0.87,11.23,3.0,2.0,158.3,0.5,2328,2504,103,2,1,7.03,31.13,1.08,7.5,-0.88,1.05,0.5,132.6,158.3,1.0,1.0,2.6,969.04,1.16,56.31
Niels Ondersteijn,141.0,1.01,36.36,4.0,2.0,139.0,0.94,2357,2485,180,3,1,26.2,13.13,0.28,33.85,-0.9,1.1,0.76,143.3,133.9,2.0,0.0,4.05,172.41,0.08,1145.93
Adam Baranyai-Molnar,140.7,0.5,21.43,1.0,0.0,140.7,0.5,2301,2221,30,0,1,21.43,0.0,0.0,0.0,-0.91,,0.5,,140.7,0.0,0.0,0.5,0.0,0.0,0.0
Steve Papaux,140.4,0.53,18.0,1.0,0.0,140.4,0.53,2221,2275,28,1,0,18.0,0.0,0.0,0.0,-0.92,0.53,,140.4,,0.0,0.0,0.53,0.0,0.0,0.0
Taron Shagbazyan,140.3,0.83,8.54,5.0,3.5,157.9,0.42,2434,2413,245,2,3,8.25,40.17,1.26,6.56,-0.93,0.3,1.19,158.9,128.0,2.0,1.5,4.17,1613.23,1.59,42.98
Ruben Domingo Nunez,140.3,0.86,138.8,9.0,5.5,154.6,0.73,2429,2369,390,4,5,19.57,25.42,0.71,372.91,-0.93,1.08,0.68,134.7,144.8,2.0,3.5,7.71,646.04,0.5,139060.23
Aras Vardanyan,140.3,1.05,26.66,5.0,2.5,146.1,0.92,2317,2472,255,3,2,13.0,17.98,0.49,33.07,-0.93,1.08,0.99,134.0,149.9,1.0,1.5,5.23,323.33,0.24,1093.74
Martin Killmann,140.1,0.53,527.16,1.0,0.0,140.1,0.53,1993,2240,19,1,0,527.16,0.0,0.0,0.0,-0.94,0.53,,140.1,,0.0,0.0,0.53,0.0,0.0,0.0
Benedikt Huber,140.0,0.53,30.25,1.0,0.0,140.0,0.53,2261,2238,60,1,0,30.25,0.0,0.0,0.0,-0.95,0.53,,140.0,,0.0,0.0,0.53,0.0,0.0,0.0
Nicholas Paltrinieri,140.0,0.84,13.61,4.0,1.5,143.4,0.68,2350,2398,195,2,2,10.96,22.34,0.78,10.21,-0.95,0.46,1.23,145.0,134.8,0.5,1.0,3.37,499.06,0.61,104.25
Marius Hurm,140.0,0.67,302.56,1.0,0.0,140.0,0.67,2004,2459,34,0,1,302.56,0.0,0.0,0.0,-0.95,,0.67,,140.0,0.0,0.0,0.67,0.0,0.0,0.0
Ioannis Papadopoulos,140.0,0.54,27.58,2.0,0.0,140.0,0.54,2226,2115,78,1,1,27.58,0.49,0.01,1.54,-0.94,0.54,0.53,140.4,139.7,0.0,0.0,1.07,0.25,0.0,2.38
Yoan Baltzer,139.8,0.52,37.91,1.0,0.0,139.8,0.52,2142,2185,34,0,1,37.91,0.0,0.0,0.0,-0.96,,0.52,,139.8,0.0,0.0,0.52,0.0,0.0,0.0
Frank Bracker,139.6,0.74,21.16,4.0,1.5,147.2,0.4,2299,2325,136,2,2,21.05,25.71,0.92,15.85,-0.97,1.36,0.12,120.2,159.0,0.5,1.0,2.98,660.95,0.84,251.3
Nazar Sokhor,139.4,0.84,22.41,4.0,1.5,139.6,1.04,2196,2328,147,1,3,22.42,16.1,0.48,14.71,-0.98,0.97,0.8,142.8,138.2,0.5,1.0,3.36,259.1,0.23,216.26
Willi Skibbe,139.4,0.53,16.6,1.0,0.0,139.4,0.53,2180,2192,47,0,1,16.6,0.0,0.0,0.0,-0.98,,0.53,,139.4,0.0,0.0,0.53,0.0,0.0,0.0
Martin Cuhra,139.2,0.53,30.33,1.0,0.0,139.2,0.53,2226,2169,30,1,0,30.33,0.0,0.0,0.0,-0.99,0.53,,139.2,,0.0,0.0,0.53,0.0,0.0,0.0
Jan Zienkiewicz,138.8,0.57,263.33,1.0,0.0,138.8,0.57,2348,2249,40,1,0,263.33,0.0,0.0,0.0,-1.01,0.57,,138.8,,0.0,0.0,0.57,0.0,0.0,0.0
Emile Bassini,138.6,0.94,75.25,7.0,4.0,137.5,0.75,2383,2383,318,3,4,21.76,16.28,0.65,103.74,-1.02,0.69,1.12,147.6,131.8,2.5,1.5,6.55,265.15,0.42,10761.27
Michal Fiedorek,138.6,0.72,15.0,2.0,0.5,138.6,0.72,2305,2341,78,1,1,15.0,30.62,0.86,13.72,-1.02,0.11,1.32,160.2,116.9,0.5,0.0,1.43,937.44,0.73,188.37
Xeniya Balabayeva,138.6,0.88,12.66,5.0,2.5,159.1,0.52,2285,2451,255,3,2,10.85,28.57,0.85,8.45,-1.02,0.84,0.94,139.8,137.0,1.5,1.0,4.39,816.4,0.72,71.36
Jinghan Cameron Goh,138.5,0.58,216.46,2.0,0.5,138.5,0.58,2101,2221,70,1,1,216.46,30.41,0.83,306.12,-1.03,0.0,1.17,160.0,117.0,0.5,0.0,1.17,924.5,0.68,93709.86
Jan-Louis Wichtrup,138.3,0.86,10.88,2.0,1.0,138.3,0.86,2160,2379,85,1,1,10.88,29.13,1.14,10.9,-1.04,1.67,0.06,117.7,158.9,0.5,0.5,1.73,848.72,1.3,118.73
Kaare Hove Kristensen,138.2,1.09,11.06,2.0,1.0,138.2,1.09,2266,2432,132,1,1,11.06,22.27,0.68,0.92,-1.05,1.57,0.61,122.4,153.9,0.5,0.5,2.18,496.12,0.46,0.85
Sven Charmeteau,138.2,0.74,19.23,3.0,1.0,135.1,0.72,2298,2409,114,1,2,25.37,21.87,0.76,17.01,-1.04,0.0,1.12,161.5,126.6,1.0,0.0,2.23,478.25,0.57,289.42
Dimitrios Kassios,138.2,1.05,11.89,1.0,0.5,138.2,1.05,2000,2326,62,0,1,11.89,0.0,0.0,0.0,-1.04,,1.05,,138.2,0.0,0.5,1.05,0.0,0.0,0.0
Bruno Engel,138.1,0.6,299.89,1.0,0.0,138.1,0.6,2215,2276,65,0,1,299.89,0.0,0.0,0.0,-1.05,,0.6,,138.1,0.0,0.0,0.6,0.0,0.0,0.0
Anthony Petkidis,138.0,0.93,34.76,8.0,4.5,153.6,1.0,2471,2315,297,4,4,10.94,27.62,0.83,70.87,-1.05,0.5,1.36,156.0,120.1,3.0,1.5,7.43,762.89,0.69,5022.67
Milos Stankovic,137.8,0.96,15.66,8.0,5.0,150.4,0.76,2439,2334,297,4,4,16.11,31.9,1.03,8.43,-1.06,1.69,0.22,119.7,156.0,2.5,2.5,7.67,1017.92,1.07,71.08
