Player,avg_gi,avg_gpl,avg_acpl,total_game_count,Points,gi_median,gpl_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,gpl_std,acpl_std,avg_gi_raw,avg_gpl_white,avg_gpl_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_gpl_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,gpl_var,acpl_var
Natacha Benmesbah,142.83,0.69,60.54,9,6,157.6,0.55,2258,2222,392,5,4,15.3,19.76,0.64,91.86,-0.79,0.95,0.36,136.78,150.4,3,3,6.17,390.44,0,1.13,1.06,0.41,8439.07
Anapaola S. Borda Rodas,142.69,0.95,52.58,9,6,152.1,0.66,2216,2276,469,4,5,14.83,25.97,0.63,84.96,-0.8,0.96,0.94,144.57,141.18,2.5,3.5,8.55,674.4,-0.3,1.96,1.4,0.4,7218.48
Marsel Efroimski,142.54,0.75,13.51,9,5.5,157.9,0.68,2408,2305,413,5,4,14.85,22.35,0.7,10.87,-0.81,0.4,1.19,156.7,124.85,4,1.5,6.74,499.54,0.02,1.45,1.2,0.48,118.17
Thi Kim Phung Vo,142.28,0.82,28.76,9,5.5,157.6,0.53,2320,2306,530,4,5,11.31,22.21,0.85,49.96,-0.82,0.22,1.3,158.52,129.28,2.5,3,7.38,493.43,0,1.43,1.2,0.73,2495.97
Mihaela Sandu,141.41,1.04,39.34,9,7,151.1,1,2248,2386,416,5,4,19.06,21.55,0.79,57.52,-0.87,1.33,0.68,137.58,146.2,4.5,2.5,9.37,464.42,-0.35,1.35,1.16,0.62,3309.08
Bibisara Assaubayeva,141.39,0.99,29.17,9,6,149.4,0.83,2482,2512,362,5,4,12.62,20.55,0.88,55.94,-0.87,1.04,0.93,143.06,139.3,4,2,8.92,422.22,-0.44,1.23,1.11,0.78,3128.9
Harika Dronavalli,141.39,0.81,76.72,9,4.5,145.4,0.63,2502,2424,437,6,3,8.35,21.06,0.63,134.81,-0.87,0.6,1.23,152.85,118.47,4.5,0,7.25,443.42,-0.66,1.29,1.14,0.4,18174.17
Ann Matnadze Bujiashvili,141.33,0.87,53.94,9,5,151.9,0.96,2338,2239,478,6,3,16.34,18.74,0.49,92.82,-0.88,0.71,1.19,145.62,132.77,3.5,1.5,7.82,351.14,-0.31,1.02,1.01,0.24,8614.95
Anna Ushenina,140.71,1,37.59,9,5.5,141.3,1,2417,2368,488,4,5,13.44,18.2,0.75,58.53,-0.91,1.09,0.93,141.62,139.98,2.5,3,9,331.11,-0.88,0.97,0.98,0.56,3425.95
Irina Krush,139.98,0.8,78.46,9,5,152.5,0.69,2396,2268,377,4,5,11.48,23.43,0.53,111.05,-0.95,0.92,0.7,134.75,144.16,2,3,7.18,549.19,-0.27,1.59,1.26,0.28,12332.76
Afruza Khamdamova,139.71,0.85,80.05,9,4,137.2,1,2313,2365,515,4,5,36.11,22.56,0.58,94.85,-0.96,0.57,1.07,147.23,133.7,2,2,7.65,508.74,-1.1,1.48,1.22,0.34,8997.11
Candela Be Francisco Guecamburu,139.44,0.91,17.25,9,5,157.7,0.79,2294,2304,363,4,5,11.24,24.98,0.83,14.79,-0.98,0.88,0.92,143.6,136.12,2.5,2.5,8.15,624.04,0.01,1.81,1.35,0.69,218.85
Maria Jose Campos,139.19,0.95,66.58,9,6,151.1,0.52,2252,2314,439,5,4,25.26,26.09,0.88,114.07,-0.99,0.9,1.02,145.02,131.9,5,1,8.57,680.85,-0.35,1.98,1.41,0.78,13012.11
Eline Roebers,137.43,0.96,15.64,9,4.5,138.6,0.96,2340,2247,381,4,5,11.82,16.73,0.51,7.9,-1.08,1.11,0.84,133.98,140.2,2,2.5,8.64,280.01,-1.02,0.82,0.9,0.26,62.45
Sophie Milliet,135.72,1.1,41.77,9,6,142.7,0.97,2348,2388,347,5,4,15.18,29.45,0.8,80.21,-1.18,1.21,0.96,139.8,130.62,4,2,9.89,867.1,-0.8,2.52,1.59,0.65,6433.88
Khanim Balajayeva,134.63,0.88,55.83,9,4.5,157.8,0.5,2384,2168,431,5,4,13.45,39.8,0.96,87.44,-1.24,0.65,1.17,146.38,119.95,3,1.5,7.94,1584.13,0.01,4.6,2.15,0.92,7646.24
Maili-Jade Ouellet,133.96,1.25,-4.69,9,6.5,149.4,1.23,2318,2429,509,5,4,11.07,27.37,0.74,60.76,-1.27,1.16,1.36,136.08,131.3,3.5,3,11.25,749.2,-0.44,2.17,1.47,0.55,3691.18
Katarzyna Toma,132.21,0.98,16.25,9,4.5,149,0.72,2184,2082,362,4,5,11.65,38.93,0.96,9.95,-1.37,0.36,1.47,151.18,117.04,2.5,2,8.79,1515.38,-0.46,4.4,2.1,0.91,98.91
Pauline Guichard,130.79,1.08,58.96,9,5,152.7,0.64,2374,2200,424,5,4,13.31,37.64,0.89,91.83,-1.44,1.01,1.16,129.34,132.6,2,3,9.69,1416.87,-0.26,4.11,2.03,0.79,8433.57
Harriet V Hunt,128.16,1.26,50.85,9,6,142.4,0.69,2304,2216,395,5,4,21.19,43.04,1.06,64.55,-1.59,1.3,1.2,123.74,133.68,3,3,11.31,1852.67,-0.82,5.39,2.32,1.13,4166.64
Le Thao Nguyen Pham,119.62,1.65,42.84,9,5.5,130.5,1.3,2380,2407,484,4,5,25.15,37.23,1.1,43.82,-2.04,2.14,1.25,108.9,128.2,3,2.5,14.81,1386.3,-1.46,4.03,2.01,1.21,1919.79
Vantika Agrawal,157.46,0.44,31.4,8,6.5,158.75,0.48,2370,2557,394,3,5,9.5,2.79,0.37,63.3,0,0.29,0.54,157.33,157.54,2.5,4,3.56,7.81,0.06,0.02,0.15,0.13,4006.58
Shiqun Ni,153.96,0.38,36.26,8,6,158.1,0.26,2348,2410,359,3,5,7.66,9,0.31,75.47,-0.19,0.5,0.3,154.57,153.6,2,4,3,81.05,0.03,0.24,0.49,0.1,5695.65
Dana Kochavi,152.48,0.64,22.62,8,8,157.6,0.42,2009,2450,362,4,4,16.26,11.41,0.66,44.3,-0.28,0.13,1.15,158,146.95,4,4,5.13,130.17,0,0.38,0.61,0.43,1962.57
Veronika Exler,145.66,0.55,9.67,8,4,156.45,0.33,2176,2166,293,4,4,8.73,17.25,0.64,5.93,-0.64,0.36,0.74,149.85,141.48,2,2,4.4,297.65,-0.06,0.87,0.93,0.4,35.12
Tea Gueci,141.2,0.78,102.88,8,3.5,143.85,0.83,2199,2074,328,4,4,24.17,17.02,0.39,231.86,-0.88,0.96,0.6,140.05,142.35,2,1.5,6.22,289.62,-0.74,0.85,0.92,0.15,53756.89
Tijana Mandura,141.12,0.77,61.85,8,4.5,156.85,0.67,2207,2107,351,4,4,9.96,26.75,0.63,96.92,-0.89,0.63,0.91,152.48,129.78,3,1.5,6.16,715.74,-0.04,2.08,1.44,0.4,9393.59
Jasmin-Denise Schloffer,140.55,0.77,14.58,8,4.5,148,0.76,2168,2211,372,4,4,14.16,21.29,0.68,5.89,-0.92,0.36,1.18,152.18,128.93,3,1.5,6.13,453.34,-0.52,1.32,1.15,0.46,34.7
Marlies Bensdorp-De Labaca,139.98,0.88,51.66,8,5,149.75,0.97,2241,2187,441,5,3,17.26,20.84,0.53,61.54,-0.95,0.74,1.1,149.32,124.4,4.5,0.5,7.01,434.39,-0.42,1.26,1.12,0.28,3787.03
Marta Garcia Martin,139.91,0.88,6.99,8,5,145.9,0.84,2318,2275,318,5,3,9.94,21.45,0.7,14.37,-0.95,0.82,0.97,144.82,131.73,3.5,1.5,7.01,460.18,-0.63,1.34,1.16,0.5,206.44
Elena Sedina,139.52,0.69,16.22,8,4.5,148.25,0.34,2196,1917,275,5,3,15.5,22.82,0.8,12.28,-0.97,0.73,0.61,139.92,138.87,3,1.5,5.49,520.6,-0.5,1.51,1.23,0.63,150.72
Carmen Voicu-Jagodzinsky,139.21,0.78,53.15,8,3.5,147.65,0.76,2271,2015,358,4,4,26.16,21.86,0.52,65.62,-0.99,0.9,0.67,134.57,143.85,2,1.5,6.28,477.78,-0.53,1.39,1.18,0.27,4306.22
Alicja Sliwicka,137.94,1.1,34.94,8,5.5,156.05,0.89,2373,2313,446,4,4,11.47,40.01,1.04,65.37,-1.06,1.14,1.05,129.18,146.7,2.5,3,8.79,1600.43,-0.08,4.65,2.16,1.09,4272.9
Adela Velikic,134.84,0.93,54.26,8,5,145.55,0.76,2260,2196,356,4,4,21.64,28.43,0.76,102.51,-1.23,1.2,0.66,124.6,145.07,2,3,7.44,808.13,-0.65,2.35,1.53,0.57,10508.29
Hanna Marie Klek,134.71,0.94,15.24,8,5,147.5,0.73,2296,2246,353,4,4,14.48,29.59,0.81,13.66,-1.23,0.99,0.89,132.95,136.48,2,3,7.52,875.51,-0.55,2.54,1.59,0.66,186.7
Setayesh Karimi,134.54,1.19,54.61,8,5.5,130.05,1.34,2105,2311,424,1,7,14.37,22.13,0.66,118.37,-1.24,1.21,1.19,131.7,134.94,0.5,5,9.52,489.7,-1.48,1.42,1.19,0.44,14011.8
Yunshan Li,133.98,1.14,20.64,8,4,137.05,1.14,2268,2162,365,4,4,24.1,22.31,0.56,9.86,-1.27,1.17,1.12,131.8,136.15,2,2,9.15,497.89,-1.1,1.44,1.2,0.31,97.26
Regina Theissl Pokorna,133.93,0.92,22.44,8,3.5,140.25,0.78,2302,2206,405,5,3,10.42,27.31,0.72,30.26,-1.27,1.17,0.51,126.34,146.57,2.5,1,7.39,745.56,-0.94,2.17,1.47,0.51,915.68
Haritomeni Markantonaki,133.43,1.16,106.26,8,5.5,136.55,1.07,2179,2094,351,4,4,33.79,25.78,0.8,137.94,-1.3,1.23,1.09,126.82,140.02,2.5,3,9.28,664.48,-1.14,1.93,1.39,0.64,19026.83
Masha Klinova,133.34,1.07,53.58,8,5,137.55,1.18,2227,2199,441,3,5,23.12,26.94,0.91,66.97,-1.3,0.82,1.22,142.97,127.56,2,3,8.56,725.68,-1.08,2.11,1.45,0.82,4485.6
Julianna Terbe,133.14,0.94,50.99,8,4,143.3,0.66,2245,2102,409,5,3,15.32,29.48,0.83,97.95,-1.32,1.02,0.81,131.2,136.37,2,2,7.56,869.31,-0.77,2.52,1.59,0.69,9595.02
Beloslava Krasteva,132.2,1.03,16.47,8,4.5,126.95,1.08,2295,2170,333,5,3,13.68,22.63,0.81,8.13,-1.37,1.21,0.73,132.56,131.6,4,0.5,8.23,511.99,-1.65,1.49,1.22,0.66,66.05
Lena Georgescu,127.56,1.06,131.14,8,3.5,135.35,0.89,2266,2116,354,4,4,31.21,32.66,0.91,191.81,-1.62,1.71,0.42,105.55,149.57,1,2.5,8.52,1066.69,-1.2,3.1,1.76,0.84,36790.95
Jovana Eric,126.99,1.28,-7.81,8,5,141.8,0.97,2162,2125,418,4,4,13.78,38.11,0.97,65.69,-1.65,1.38,1.19,129.75,124.22,3,2,10.28,1452.1,-0.85,4.22,2.06,0.94,4314.52
Lara Janzelj,125.75,1.09,96.38,8,3.5,129.15,1.12,2193,2115,340,4,4,30.6,35.79,0.93,112.84,-1.72,0.82,1.36,133.78,117.72,1.5,2,8.73,1280.65,-1.53,3.72,1.93,0.87,12732.39
Zuzana Borosova,125.09,1.15,36.24,8,2,127.05,1.02,2205,2100,390,5,3,18.33,25.09,0.68,47.76,-1.75,1.25,0.98,125.1,125.07,2,0,9.18,629.53,-1.64,1.83,1.35,0.46,2281.47
Umida Omonova,124.89,1.44,40.57,8,4.5,130.5,1.42,2032,2344,416,4,4,22.3,21.51,0.75,64.73,-1.76,1.83,1.05,115.68,134.1,2.5,2,11.54,462.79,-1.46,1.34,1.16,0.57,4190.32
Laura Rogule,124.65,1.32,68.62,8,5,149.6,0.66,2248,2281,357,4,4,18.44,49.72,1.43,146.07,-1.77,1.54,1.1,114.72,134.57,2,3,10.57,2472.54,-0.44,7.18,2.68,2.05,21335.09
Mobina Alinasab,124.59,1.49,105.94,8,5,123.85,1.69,2336,2386,392,4,4,15.22,25.2,0.84,130.79,-1.78,1.09,1.88,138.72,110.45,3,2,11.9,635.18,-1.82,1.85,1.36,0.7,17106.97
Zala Urh,116.64,1.47,20.1,8,3,124.6,1.21,2251,2140,377,4,4,22.74,30.96,0.95,8.08,-2.2,1.49,1.45,114.12,119.15,1.5,1.5,11.76,958.55,-1.78,2.79,1.67,0.91,65.35
Laura Unuk,115.8,1.5,21.94,8,3,115.15,1.46,2316,2206,400,4,4,19.58,25.7,0.75,15.16,-2.25,1.44,1.56,114.75,116.85,1.5,1.5,11.98,660.63,-2.29,1.91,1.38,0.56,229.98
Noga Orian,115.25,1.65,21.28,8,5,124.45,1.66,2187,2148,391,5,3,17.88,39.83,1.2,9.31,-2.28,1.45,1.98,128.1,93.83,3.5,1.5,13.21,1586.57,-1.79,4.61,2.15,1.44,86.73
Pia Cramling,154.77,0.41,13.34,7,5,157.8,0.3,2425,2364,289,3,4,12.02,6.89,0.23,5.91,-0.15,0.36,0.45,152.1,156.78,2,3,2.88,47.41,0.01,0.14,0.37,0.05,34.97
Maritza Arribas Robaina,149.96,0.29,12,7,4,157.8,0.14,2143,2189,277,2,5,8.06,14.7,0.37,9.45,-0.41,0,0.41,158.15,146.68,2,2,2.05,215.98,0.01,0.63,0.79,0.14,89.38
Monica Calzetta Ruiz,149,0.72,44.24,7,5.5,157.6,0.65,2199,2342,292,3,4,16.84,11.57,0.47,90.06,-0.46,0.76,0.69,148.9,149.07,2.5,3,5.02,133.81,0,0.39,0.62,0.22,8111.47
Mai Narva,141.29,0.85,106.85,7,4.5,147.9,0.63,2420,2337,343,4,3,18.91,20.35,0.59,187.08,-0.88,0.67,1.08,143.98,137.7,2.5,2,5.92,414.11,-0.52,1.2,1.1,0.34,35000.7
Aleksandra Maltsevskaya,139.63,0.76,72.91,7,3.5,149.7,0.65,2404,2223,314,5,2,21.68,25.08,0.57,110.21,-0.97,0.69,0.94,145.88,124,2.5,1,5.32,628.9,-0.42,1.83,1.35,0.32,12145.97
Nilufar Yakubbaeva,138.63,0.79,16.69,7,3,132.3,0.75,2248,2299,304,4,3,12.06,20.42,0.62,12.3,-1.02,0.5,1.17,145.55,129.4,2,1,5.5,416.97,-1.36,1.21,1.1,0.39,151.25
Fiorella Contreras Huaman,137.73,1.01,94.65,7,4,134,0.77,2168,2260,376,4,3,11.04,20.46,0.57,173.73,-1.07,1.02,1,136.07,139.93,2.5,1.5,7.09,418.44,-1.27,1.22,1.1,0.32,30183.26
Sheila Barth Stanford,136.9,1.09,55.76,7,5.5,147.2,1.12,2175,2282,379,3,4,17.47,25.89,0.79,82.56,-1.12,0.62,1.45,154.23,123.9,3,2.5,7.66,670.33,-0.56,1.95,1.4,0.63,6816.91
Petra Papp,136.67,0.89,48.6,7,4,157.6,0.96,2259,2116,253,2,5,13.12,35.88,0.95,99.98,-1.12,0.05,1.22,158.25,128.04,1.5,2.5,6.2,1287.26,0,3.74,1.93,0.9,9995.74
Evgeniya Doluhanova,135.47,0.95,116.49,7,3.5,142.1,0.54,2304,2107,344,3,4,21.53,31.25,0.87,138.85,-1.19,0.46,1.32,152.67,122.58,2,1.5,6.65,976.54,-0.83,2.83,1.68,0.76,19278.35
