Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Tor Fredrik Kaasen,148.0,0.75,9.25,6.0,3.5,151.8,0.73,2477,2397,333,3,3,8.6,14.14,0.46,3.94,-0.52,0.71,0.79,145.9,150.0,1.5,2.0,4.48,199.91,0.21,15.52
Ben Samuel Groth Skaar,146.5,0.6,10.65,9.0,3.5,152.1,0.65,2056,2146,436,4,5,13.58,12.95,0.43,7.19,-0.6,0.6,0.6,149.8,143.9,1.5,2.0,5.37,167.65,0.18,51.74
Jens E Ingebretsen,146.4,0.75,-21.7,5.0,3.5,149.1,0.73,2418,2369,244,2,3,4.2,14.24,0.77,62.25,-0.6,0.08,1.21,158.6,138.3,1.5,2.0,3.77,202.73,0.59,3875.51
Gustav Hestholm,146.3,0.47,7.86,3.0,1.0,157.7,0.39,2059,2060,157,1,2,4.15,19.77,0.45,7.26,-0.61,0.07,0.68,157.8,140.6,0.5,0.5,1.42,391.02,0.2,52.64
Bror Thanke,146.1,0.33,11.0,2.0,0.0,146.1,0.33,2113,1887,86,1,1,11.0,16.97,0.47,15.56,-0.62,0.0,0.66,158.1,134.1,0.0,0.0,0.66,288.0,0.22,242.0
Saad Abobaker Elmi,145.7,0.58,11.01,9.0,3.0,154.2,0.57,2421,2266,357,4,5,12.8,16.21,0.48,5.77,-0.64,0.25,0.84,156.5,137.1,1.5,1.5,5.2,262.85,0.23,33.27
Edwin David,145.1,0.46,16.82,3.0,1.5,157.7,0.29,2152,2042,73,2,1,16.56,21.82,0.54,7.95,-0.67,0.54,0.29,138.8,157.7,1.0,0.5,1.37,476.28,0.29,63.17
Erik Blomqvist,144.6,0.48,12.12,3.0,1.0,148.7,0.27,2460,2328,86,1,2,12.9,19.32,0.49,5.83,-0.7,0.13,0.66,161.6,136.1,1.0,0.0,1.44,373.4,0.24,34.03
William Alexander Olsen,144.0,0.69,8.49,2.0,0.5,144.0,0.69,2074,2293,105,1,1,8.49,8.34,0.06,0.86,-0.74,0.73,0.65,149.9,138.1,0.5,0.0,1.38,69.62,0.0,0.73
Andre Nielsen,143.5,0.75,10.58,9.0,5.0,157.8,0.42,2264,2412,406,4,5,10.79,22.6,0.8,5.56,-0.76,0.99,0.55,135.7,149.8,2.0,3.0,6.73,510.55,0.64,30.9
Dmitry V. Sklyarov,143.5,0.59,7.65,9.0,4.0,159.3,0.1,2431,2447,386,4,5,5.5,28.2,0.98,6.63,-0.76,0.52,0.65,143.6,143.3,2.0,2.0,5.33,795.01,0.95,43.91
Max Dahl,143.0,0.79,9.99,8.0,3.5,145.0,0.85,2168,2167,351,4,4,9.31,14.94,0.56,6.81,-0.78,0.82,0.76,146.6,139.4,2.5,1.0,6.31,223.25,0.31,46.43
David Mindestrommen Simonsen,142.7,0.77,12.3,6.0,4.0,147.5,0.84,1978,2228,251,4,2,13.34,18.12,0.5,6.34,-0.8,0.72,0.87,145.4,137.2,3.0,1.0,4.62,328.44,0.25,40.2
Torgeir Kjoita,142.7,0.59,14.83,7.0,2.0,144.4,0.53,2066,2011,233,3,4,15.5,16.82,0.55,10.53,-0.8,0.49,0.66,153.5,134.6,1.5,0.5,4.13,282.91,0.31,110.96
Peder Marcus Aamodt,142.3,0.73,11.76,9.0,6.0,156.5,0.76,2152,2304,395,4,5,11.47,22.52,0.71,7.09,-0.82,0.84,0.64,133.5,149.4,2.5,3.5,6.58,507.3,0.5,50.21
Andreas Garberg Tryggestad,142.2,0.81,12.93,9.0,4.5,147.5,0.84,2319,2363,369,5,4,14.22,19.92,0.61,8.31,-0.83,0.77,0.84,144.2,139.6,3.0,1.5,7.25,396.98,0.37,69.0
Aksel Bu Kvaloy,141.9,0.76,9.41,7.0,4.0,158.6,0.32,2488,2504,339,4,3,6.02,29.51,0.95,5.51,-0.84,0.57,1.0,143.9,139.3,2.5,1.5,5.29,870.71,0.9,30.33
Eivind Grunt Kreken,141.0,0.78,10.63,8.0,5.0,157.8,0.58,2298,2330,450,3,5,7.33,34.28,1.05,6.54,-0.9,0.48,0.96,154.1,133.2,2.5,2.5,6.26,1175.06,1.1,42.8
Ludvig Carlsson,141.0,1.25,8.23,3.0,2.5,145.0,1.35,2351,2501,159,2,1,9.2,19.12,0.36,2.01,-0.89,1.1,1.55,151.4,120.2,2.0,0.5,3.75,365.44,0.13,4.02
Isak Storme,140.8,0.91,11.45,5.0,3.5,158.1,0.89,2455,2509,263,2,3,8.97,24.99,0.68,6.66,-0.9,0.9,0.92,137.0,143.4,1.0,2.5,4.54,624.62,0.46,44.32
Stig Gabrielsen,140.2,1.08,14.13,6.0,4.5,142.2,0.94,2273,2387,270,4,2,13.46,17.77,0.69,5.86,-0.94,1.33,0.56,136.5,147.6,3.5,1.0,6.45,315.8,0.47,34.32
