Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,missed_points_var,acpl_var
Gwilym Price,144.7,1.09,88.95,9,3.5,145.1,1.14,2186,2132,390,4,5,33.11,14.44,0.67,114.4,-0.7,1.1,1.07,141.8,147.0,1.0,2.5,9.78,208.52,0.45,13087.36
Callum D Brewer,144.2,1.05,47.96,9,3.0,148.1,0.58,2152,2008,356,4,5,23.85,24.77,1.31,90.55,-0.72,1.53,0.67,136.1,150.7,1.5,1.5,9.48,613.43,1.72,8200.14
Brandon G I Clarke,144.0,1.29,71.13,9,5.0,149.9,1.29,2491,2272,402,5,4,26.77,21.09,0.73,88.75,-0.73,1.08,1.54,148.7,138.2,3.0,2.0,11.58,444.99,0.53,7876.76
Kenneth Hobson,144.0,1.06,43.96,6,2.0,144.0,0.99,2361,2114,315,3,3,30.74,11.0,0.36,45.37,-0.73,1.05,1.07,144.3,143.8,1.0,1.0,6.36,120.92,0.13,2058.66
Neil H Bradbury,143.8,1.13,51.98,9,3.5,137.9,1.53,2137,2185,310,4,5,23.72,17.68,0.74,92.24,-0.74,1.33,0.97,139.9,147.0,1.5,2.0,10.16,312.44,0.54,8508.2
Tarun Kanyamarala,143.8,1.35,20.89,9,5.5,156.4,0.86,2397,2394,463,5,4,11.84,27.49,1.4,52.75,-0.74,1.18,1.58,148.7,137.6,3.5,2.0,12.19,755.76,1.96,2782.29
Zain Patel,143.7,1.19,124.73,9,4.0,148.1,1.33,2048,2065,486,4,5,147.1,11.28,0.51,100.55,-0.75,1.59,0.87,137.4,148.8,2.0,2.0,10.73,127.35,0.26,10109.83
Mikhail Sedykh,143.6,1.13,121.25,8,3.0,140.4,1.04,2159,2096,383,4,4,34.88,13.28,0.8,161.75,-0.75,1.53,0.72,138.4,148.8,2.0,1.0,9.02,176.32,0.63,26163.72
Rajat Makkar,143.6,1.42,20.02,9,6.0,145.9,1.46,2406,2454,392,4,5,18.08,19.96,0.88,14.04,-0.76,1.47,1.38,144.2,143.1,3.0,3.0,12.8,398.27,0.77,197.15
Bodhana Sivanandan,143.4,1.32,73.34,9,5.0,144.1,1.43,2216,2278,488,5,4,27.22,14.19,0.63,111.82,-0.77,1.34,1.3,147.5,138.2,4.0,1.0,11.89,201.5,0.4,12503.96
