Player,avg_gi,avg_missed_points,avg_acpl,total_game_count,Points,gi_median,missed_points_median,Elo,TPR,total_moves,White_games,Black_games,acpl_median,gi_std,missed_points_std,acpl_std,avg_gi_raw,avg_missed_points_white,avg_missed_points_black,avg_gi_white,avg_gi_black,white_result_sum,black_result_sum,total_missed_points_sum,gi_var,gi_raw_median,gi_raw_var,gi_raw_std,missed_points_var,acpl_var
Parham Maghsoodloo,138.9,0.93,55.54,9,4.5,141.8,0.69,2703.0,2464.0,493,4,5,10.28,24.33,0.77,89.34,-1.01,1.34,0.61,130.75,145.42,2.0,2.5,8.4,591.82,-0.85,1.72,1.31,0.6,7981.34
Natalia Zhukova,138.7,0.88,33.74,9,4.0,135.2,0.95,2302.0,2335.0,458,4,5,19.85,16.87,0.46,46.54,-1.02,0.79,0.95,146.18,132.72,2.5,1.5,7.94,284.53,-1.21,0.83,0.91,0.21,2165.58
Manish_Anto_Cristiano F,138.6,0.82,37.03,9,4.5,138.7,0.74,2296.0,2416.0,639,5,4,8.2,27.59,0.81,86.65,-1.02,1.24,0.3,127.16,152.9,2.5,2.0,7.37,761.09,-1.01,2.21,1.49,0.65,7508.87
Husain Aziz,138.13,0.81,34.95,9,3.5,143.4,0.75,2329.0,2334.0,433,5,4,13.69,20.82,0.57,61.77,-1.05,0.99,0.58,134.88,142.2,2.0,1.5,7.26,433.55,-0.76,1.26,1.12,0.32,3815.59
Daakshin Arun,138.04,0.92,20.8,8,3.5,137.4,0.82,2286.0,2354.0,408,4,4,23.86,14.76,0.59,25.68,-1.06,1.03,0.81,141.48,134.6,3.0,0.5,7.35,217.84,-1.09,0.64,0.8,0.35,659.46
Bardiya Daneshvar,137.89,1.22,38.71,9,6.0,142.2,0.84,2600.0,2626.0,637,4,5,9.26,27.95,1.11,79.93,-1.06,0.74,1.61,150.32,127.94,3.0,3.0,11.01,781.03,-0.83,2.26,1.5,1.24,6388.41
Saidakbar Saydaliev,137.88,1.01,68.75,9,4.5,144.6,0.88,2473.0,2404.0,376,5,4,9.55,25.37,0.74,116.43,-1.06,1.38,0.54,125.46,153.4,2.0,2.5,9.06,643.61,-0.7,1.87,1.37,0.54,13554.97
Artem Uskov,137.4,1.09,38.59,9,5.5,156.7,1.02,2430.0,2571.0,540,5,4,15.58,28.69,0.78,50.32,-1.09,0.56,1.75,158.58,110.92,5.0,0.5,9.82,823.11,-0.05,2.39,1.55,0.61,2532.59
Alicja Sliwicka,137.24,1.0,89.73,9,3.5,140.8,0.85,2346.0,2360.0,423,5,4,12.89,19.92,0.74,160.32,-1.1,0.77,1.28,141.68,131.7,2.5,1.0,8.96,396.79,-0.9,1.15,1.07,0.54,25702.84
Murtas Kazhgaleyev,136.84,1.24,34.41,9,5.0,141.7,0.85,2488.0,2548.0,486,5,4,18.67,27.14,1.06,54.98,-1.12,0.71,1.9,150.58,119.68,3.0,2.0,11.14,736.46,-0.85,2.14,1.46,1.12,3022.99
